State,County,Labor Force,Employed,Unemployed,Unemployment Rate,Life Expectancy,Natural_Amenity,Median Child Income,Gini,Gini_bin,Employ_bin,Avg Natural_Amenity
CA,GLENN COUNTY,"12,964","11,827","1,137",8.8,80.95,4.38,33500.0,0.41,0.4,10.0,-1.4098257839721255
CA,HUMBOLDT COUNTY,"62,290","58,782","3,508",5.6,78.2,11.15,29300.0,0.434,0.4,5.0,-1.4098257839721255
CA,IMPERIAL COUNTY,"76,750","57,864","18,886",24.6,80.024,6.45,30600.0,0.524,0.5,25.0,-1.4098257839721255
CA,INYO COUNTY,"9,081","8,552",529,5.8,80.767,7.08,36600.0,0.389,0.4,5.0,-1.4098257839721255
CA,KERN COUNTY,"390,138","350,050","40,088",10.3,76.831,4.84,36100.0,0.48,0.5,10.0,-1.4098257839721255
CA,KINGS COUNTY,"57,729","51,628","6,101",10.6,78.425,3.48,31300.0,0.403,0.4,10.0,-1.4098257839721255
CA,LAKE COUNTY,"29,006","26,790","2,216",7.6,74.821,6.55,29200.0,0.427,0.4,10.0,-1.4098257839721255
CA,LASSEN COUNTY,"10,760","9,978",782,7.3,76.425,6.35,38300.0,0.314,0.3,5.0,-1.4098257839721255
CA,LOS ANGELES COUNTY,"4,973,756","4,641,054","332,702",6.7,80.562,10.33,32100.0,0.632,0.6,5.0,-1.4098257839721255
CA,MADERA COUNTY,"59,807","53,480","6,327",10.6,77.905,6.0,30300.0,0.423,0.4,10.0,-1.4098257839721255
CA,MARIN COUNTY,"138,677","133,718","4,959",3.6,83.388,8.14,44200.0,0.456,0.5,5.0,-1.4098257839721255
CA,MARIPOSA COUNTY,"8,011","7,436",575,7.2,78.4,8.25,34900.0,0.47,0.5,5.0,-1.4098257839721255
CA,MENDOCINO COUNTY,"39,831","37,500","2,331",5.9,79.235,10.93,29700.0,0.46,0.5,5.0,-1.4098257839721255
CA,MERCED COUNTY,"114,061","101,031","13,030",11.4,78.29,4.51,30800.0,0.44,0.4,10.0,-1.4098257839721255
CA,MODOC COUNTY,"3,303","3,019",284,8.6,79.8,4.99,37800.0,0.376,0.4,10.0,-1.4098257839721255
CA,MONO COUNTY,"8,239","7,731",508,6.2,80.95,8.21,41000.0,0.366,0.4,5.0,-1.4098257839721255
CA,MONTEREY COUNTY,"218,274","200,452","17,822",8.2,80.842,9.24,34000.0,0.48,0.5,10.0,-1.4098257839721255
CA,NAPA COUNTY,"73,717","70,290","3,427",4.6,81.333,7.53,40500.0,0.427,0.4,5.0,-1.4098257839721255
CA,NEVADA COUNTY,"48,006","45,388","2,618",5.5,80.047,7.26,36700.0,0.394,0.4,5.0,-1.4098257839721255
CA,ORANGE COUNTY,"1,584,296","1,513,060","71,236",4.5,81.658,8.74,39000.0,0.511,0.5,5.0,-1.4098257839721255
CA,PLACER COUNTY,"176,339","167,367","8,972",5.1,80.319,6.0,41500.0,0.381,0.4,5.0,-1.4098257839721255
CA,PLUMAS COUNTY,"7,891","7,076",815,10.3,77.983,6.55,35400.0,0.376,0.4,10.0,-1.4098257839721255
CA,RIVERSIDE COUNTY,"1,033,458","963,825","69,633",6.7,79.044,6.64,31800.0,0.43,0.4,5.0,-1.4098257839721255
CA,SACRAMENTO COUNTY,"684,577","643,295","41,282",6.0,78.715,3.65,33700.0,0.473,0.5,5.0,-1.4098257839721255
CA,SAN BENITO COUNTY,"29,759","27,495","2,264",7.6,82.4,5.2,35200.0,0.387,0.4,10.0,-1.4098257839721255
CA,SAN DIEGO COUNTY,"1,548,794","1,467,686","81,108",5.2,80.763,9.78,36000.0,0.516,0.5,5.0,-1.4098257839721255
