TimeStamp,TimeStamp,TotalMarketValue
259,2019-05-20 11:09:49,140098162750.0
260,2019-05-21 05:23:16,140312341275.0
261,2019-05-21 21:40:08,142669965450.0
262,2019-05-22 14:30:17,138738938250.0
263,2019-05-23 04:56:53,135250337475.0
264,2019-05-23 21:14:22,137944754143.75
265,2019-05-24 13:50:55,142446960012.5
266,2019-05-25 04:53:59,142289263968.75
267,2019-05-26 00:50:37,142707512218.75
268,2019-05-26 14:53:47,141202825737.5
269,2019-05-27 07:32:53,155464220800.0
270,2019-05-27 22:58:49,155910462268.75
271,2019-05-28 14:46:47,153608679187.5
272,2019-05-29 07:04:34,150393834550.0
273,2019-05-29 21:45:33,153649696550.0
274,2019-05-30 12:32:29,155132893500.0
275,2019-05-31 04:58:22,146233801654.105
276,2019-06-01 03:06:51,151715653250.0
277,2019-06-01 19:34:08,151460956500.0
278,2019-06-02 14:02:37,156420949437.5
279,2019-06-03 11:27:47,150366191587.5
280,2019-06-04 07:45:27,139565319562.5
281,2019-06-05 00:00:26,135486489600.0
282,2019-06-05 15:25:08,137909537625.0
283,2019-06-06 07:00:22,138257157200.0
284,2019-06-06 23:54:12,137140686800.0
285,2019-06-07 17:17:43,141569811906.25
286,2019-06-08 13:01:43,142157274750.0
287,2019-06-09 05:39:14,139745176800.0
288,2019-06-09 23:01:03,135335923368.75
289,2019-06-10 15:19:07,141248387112.5
290,2019-06-11 10:04:39,141250153200.0
291,2019-06-12 03:17:43,139618439000.0
292,2019-06-12 21:40:24,144458341200.0
293,2019-06-13 15:59:45,145063973362.5
294,2019-06-14 09:56:24,147063705150.0
295,2019-06-14 23:24:46,153769981362.5
296,2019-06-15 14:54:01,153808203250.0
297,2019-06-16 09:19:03,167318864250.0
298,2019-06-17 06:55:40,163299051112.5
299,2019-06-18 01:01:42,166056000625.0
300,2019-06-18 16:35:14,160534253700.0
301,2019-06-19 09:51:39,162998127600.0
302,2019-06-19 22:27:26,162717099187.5
303,2019-06-20 16:04:47,166683069000.0
304,2019-06-21 10:39:29,173297563312.5
305,2019-06-22 04:08:53,191172047550.0
306,2019-06-22 22:36:42,189631072725.0
307,2019-06-23 12:58:32,188409822325.0
308,2019-06-24 03:30:25,188886193031.25
309,2019-06-24 18:20:27,196331481043.75
310,2019-06-25 09:17:27,202000227043.75
311,2019-06-26 02:56:38,210112530021.813
312,2019-06-26 19:15:58,239283651206.25
313,2019-06-27 11:14:42,203592539368.75
314,2019-06-28 03:30:34,196111611225.0
315,2019-06-28 21:08:25,219514812000.0
316,2019-06-29 10:19:56,207524720775.0
317,2019-06-30 02:21:08,215216133256.25
318,2019-06-30 18:24:18,199096645106.25
319,2019-07-01 12:18:27,193836349687.5
320,2019-07-02 06:42:19,175809051137.5
321,2019-07-02 23:12:05,189968343650.0
322,2019-07-03 12:45:39,199627535175.0
323,2019-07-04 03:20:01,212011193625.0
324,2019-07-04 18:49:10,211857897825.0
325,2019-07-05 08:47:14,193754008012.5
326,2019-07-05 23:00:25,197043741700.0
327,2019-07-06 12:53:14,202345722593.75
328,2019-07-07 03:22:09,199414343262.5
329,2019-07-07 20:37:02,203826917700.0
330,2019-07-08 12:21:20,212487155156.25
331,2019-07-09 01:54:54,218833602475.0
332,2019-07-09 18:13:01,223625515985.735
333,2019-07-10 15:05:08,232651213562.5
334,2019-07-11 09:18:33,205435101675.0
335,2019-07-12 04:01:06,202555980900.0
336,2019-07-12 19:21:19,207924278500.0
337,2019-07-13 13:51:29,202283398056.25
338,2019-07-14 06:36:28,200071369331.25
339,2019-07-15 00:06:39,186981173775.0
340,2019-07-15 19:01:39,186041749118.75
341,2019-07-16 11:25:07,190795986237.5
342,2019-07-17 02:58:53,168487622545.152
343,2019-07-17 22:14:42,172689348137.5
344,2019-07-18 19:24:35,187621344875.0
345,2019-07-19 16:49:08,184783149825.0
346,2019-07-20 07:22:16,189093242987.5
347,2019-07-20 23:29:54,195249365325.0
348,2019-07-21 16:34:15,185591168875.0
349,2019-07-22 06:57:49,188600602400.0
350,2019-07-23 01:06:50,184040703268.75
351,2019-07-23 20:22:46,179881380187.5
352,2019-07-24 12:47:57,172537724800.0
353,2019-07-25 07:43:13,179729870118.75
354,2019-07-26 00:27:36,177031866381.25
355,2019-07-26 17:03:22,174741531257.812
356,2019-07-27 07:26:19,180314059837.5
357,2019-07-28 00:09:34,168400183243.75
358,2019-07-28 15:07:32,169153180500.0
359,2019-07-29 04:39:45,171851457250.0
360,2019-07-29 20:42:39,169339033425.0
361,2019-07-30 16:33:20,172796348350.0
362,2019-07-31 09:43:38,174504784500.0
363,2019-07-31 23:02:58,179453215637.5
364,2019-08-01 15:45:34,178913150875.0
365,2019-08-02 09:20:39,187549307431.25
366,2019-08-02 22:51:27,186733024937.5
367,2019-08-03 15:22:27,192987253668.75
368,2019-08-04 04:57:00,191832245212.5
369,2019-08-04 21:12:51,195703767187.5
370,2019-08-05 13:33:31,210264849693.75
371,2019-08-06 06:47:31,209771572500.0
372,2019-08-06 22:50:36,202928193825.0
373,2019-08-07 13:55:35,210186901556.25
374,2019-08-08 10:06:01,212819639587.5
375,2019-08-09 02:40:54,212630265006.25
376,2019-08-09 20:57:53,210850384662.5
377,2019-08-10 14:49:18,203262979556.25
378,2019-08-11 05:00:45,203260182281.25
379,2019-08-11 23:10:56,205580774025.0
380,2019-08-12 16:11:36,203165501656.25
381,2019-08-13 09:01:20,202814150437.5
382,2019-08-14 03:17:20,188824411112.5
383,2019-08-14 20:33:45,182384991250.0
384,2019-08-15 12:24:41,180351498600.0
385,2019-08-16 04:15:33,184566594487.5
386,2019-08-16 23:08:27,186663740737.5
387,2019-08-17 19:20:54,180910676450.0
388,2019-08-18 14:18:29,186172793337.5
389,2019-08-19 06:26:00,185328260781.25
390,2019-08-19 23:56:51,193095636600.0
391,2019-08-20 16:30:10,191375019062.5
392,2019-08-21 11:01:15,182060463187.5
393,2019-08-22 05:14:11,176465480400.0
394,2019-08-23 00:16:48,181264439512.5
395,2019-08-23 17:13:36,186189485075.0
396,2019-08-24 09:20:25,183921937225.0
397,2019-08-25 00:58:49,181546550375.0
398,2019-08-25 19:05:18,180199858500.0
399,2019-08-26 11:05:35,185600574875.0
400,2019-08-27 05:05:48,182150827181.25
401,2019-08-28 00:47:55,182128637250.0
402,2019-08-28 18:05:27,183198326137.5
403,2019-08-29 10:00:45,168307630662.5
404,2019-08-30 01:18:41,169188454631.25
405,2019-08-30 17:43:57,171448274375.0
406,2019-08-31 09:29:07,171469914825.0
407,2019-09-01 00:43:32,172199061556.25
408,2019-09-01 17:58:42,171674507718.75
409,2019-09-02 11:32:22,175502403275.0
410,2019-09-03 05:01:04,186540775000.0
411,2019-09-03 20:30:10,190567403325.0
412,2019-09-04 15:11:08,186747653900.0
413,2019-09-05 07:12:45,190156640081.25
414,2019-09-05 21:36:30,189337656775.0
415,2019-09-06 13:49:35,195480007350.0
416,2019-09-07 08:34:26,186095172637.5
