Dates,auto_BTCUSDT,auto_ETHUSDT,auto_SP500,auto_NSDQ,auto_GOLD,auto_TNX,macd_BTCUSDT,macd_ETHUSDT,macd_SP500,macd_NSDQ,macd_GOLD,macd_TNX,boll_BTCUSDT,boll_ETHUSDT,ETHUSDT,BTCUSDT,SP500,TNX,NSDQ,GOLD
21.0,0.9972338,1.0004836,1.0005165,1.0005949,1.0000962,0.9990411,0.7363457,1.3962952,1.0441973,1.0484748,1.0111686,0.9611155,1.068548,1.1601954,1.4295439074200136,0.8577855122583077,1.0508789228944875,0.9249530536470348,1.0572478397583966,1.0130928475919059
22.0,0.99622136,0.99946785,1.0005616,1.0007416,1.0001694,0.9993417,0.7363457,1.3277304,1.0464678,1.0558712,1.0148153,0.9611155,1.0065017,1.1032242,1.3593464975376532,0.8079772960290699,1.0531639177477925,0.9394054485538349,1.0647062385702264,1.016746594213066
23.0,0.99619913,0.99919164,1.0005499,1.0006146,1.0004776,0.99912083,0.7363457,1.3090866,1.0458817,1.0494698,1.0301627,0.9611155,1.005138,1.0877328,1.3402586561064074,0.8068826163601449,1.0525741715433328,0.9287867058330724,1.0582511755467598,1.0321230682885718
24.0,0.9975151,1.0016363,1.0005624,1.0006037,1.0005766,0.99936414,0.7363457,1.4741021,1.046512,1.0489178,1.035101,0.9611155,1.0857863,1.2248459,1.509203553118618,0.8716236847841056,1.0532084747398986,0.9404807224265384,1.057694595261883,1.0370709256697048
25.0,0.9972405,1.0009328,1.0008084,1.0008693,1.0004119,0.9990628,0.7363457,1.4266148,1.0589039,1.0623082,1.0268956,0.9611155,1.0689577,1.1853882,1.4605854987448945,0.8581143822280299,1.0656797232539863,0.9259954896826749,1.0711969807104897,1.0288498331603455
26.0,0.99644876,1.0004094,1.0008084,1.0008693,1.0004119,0.9990628,0.7363457,1.3912818,1.0589039,1.0623082,1.0268956,0.9611155,1.0204357,1.1560297,1.4244111374659632,0.8191629531037686,1.0656797232539863,0.9259954896826749,1.0711969807104897,1.0288498331603455
27.0,0.99737024,1.0022321,1.0008084,1.0008693,1.0004119,0.9990628,0.7363457,1.5143154,1.0589039,1.0623082,1.0268956,0.9611155,1.0769085,1.2582594,1.5503744043567051,0.8644969065031269,1.0656797232539863,0.9259954896826749,1.0711969807104897,1.0288498331603455
28.0,0.9973794,1.0035896,1.0006669,1.000759,1.0004119,0.99879867,0.7363457,1.6059523,1.0517755,1.0567516,1.0268956,0.9611155,1.0774705,1.3513403,1.644193375329731,0.8649481195971037,1.058505594709962,0.91330120465642,1.0655938959720994,1.0288498331603455
29.0,0.99620104,1.0018871,1.0003844,1.000536,1.0001649,0.9985604,0.7363457,1.5111505,1.0403124,1.0476893,1.0145875,0.9611155,1.0213702,1.3513403,1.5471340981854151,0.8199131057959982,1.0469691374001793,0.9042552988294597,1.0564557912398151,1.0165182873173058
30.0,0.99437654,1.0005568,1.000397,1.0005673,1.0002334,0.99861294,0.7363457,1.4370804,1.0408211,1.0489631,1.0173227,0.9611155,0.93450916,1.3513403,1.4713002640508,0.75018473447646,1.0474810899944376,0.9062499586772185,1.0577402394445041,1.0192586205134258
31.0,0.9943957,1.0019737,1.0003803,1.000478,1.0003343,0.99815685,0.7363457,1.5159776,1.0401465,1.0453371,1.0213494,0.9611155,0.9354195,1.3513403,1.5520762423417291,0.7509155161740159,1.046802229805766,0.8889289179102559,1.0540838268305703,1.0232930644695186
32.0,0.9920802,0.99810404,0.9998367,0.99997324,1.0001324,0.99749243,0.7363457,1.3005093,1.0180866,1.0248276,1.0132959,0.9611155,0.8251837,1.3513403,1.331477155484173,0.6624228409952293,1.0246010745480136,0.8637000558169767,1.033402830956735,1.0152241765573327
33.0,0.99102986,0.99538213,0.9998367,0.99997324,1.0001324,0.99749243,0.7363457,1.1489514,1.0180866,1.0248276,1.0132959,0.9611155,0.775179,1.2005738,1.1763104152484682,0.6222811880478633,1.0246010745480136,0.8637000558169767,1.033402830956735,1.0152241765573327
34.0,0.9927359,0.99778974,0.9998367,0.99997324,1.0001324,0.99749243,0.7363457,1.283009,1.0180866,1.0248276,1.0132959,0.9611155,0.85640234,1.3406546,1.3135602417407675,0.68748388329602,1.0246010745480136,0.8637000558169767,1.033402830956735,1.0152241765573327
35.0,0.99062485,0.9947019,0.99880856,0.9990207,1.0001192,0.9979809,0.7363457,1.1110786,0.9763661,0.9861298,1.0127641,0.9611155,0.7558962,1.1609993,1.137535765188904,0.6068017606632046,0.9826137167794569,0.8822476302027585,0.9943812359622362,1.014691367546226
36.0,0.9859693,0.9883615,0.9993163,0.99964505,0.9999617,0.99824655,0.7363457,0.8293461,0.99339485,1.0071262,1.0075216,0.9611155,0.58774215,0.86660856,0.8490945856290418,0.471814729398492,0.9997514045867257,0.8905346661038442,1.0155532378066792,1.0094390080497462
37.0,0.98821443,0.9912992,0.99916816,0.9993761,0.99963075,0.9974836,0.7363457,0.9598798,0.9884263,0.9980823,0.9965051,0.9611155,0.66883355,1.0030072,0.9827365654516252,0.536911539585538,0.9947510595417259,0.8667369313122073,1.0064336694905434,0.99840148004568
38.0,0.9897164,0.99309003,0.9980619,0.99821955,0.99975175,0.9974154,0.7363457,1.0026729,0.95132434,0.95918643,1.0005319,0.9611155,0.7230853,1.0861579,1.0642069069360534,0.5804625240071073,0.9574116662159649,0.8646088631599579,0.967212355064912,1.0024359240017728
39.0,0.9909923,0.99465644,0.99848557,0.99862915,0.999665,0.99763095,0.7363457,1.0026729,0.9655334,0.9729617,0.9976448,0.9611155,0.76916885,1.1588871,1.1354663036078965,0.6174564995549404,0.9717116532292318,0.8713326123211973,0.98110295996601,0.9995432932874799
40.0,0.99260163,0.9963689,0.99848557,0.99862915,0.999665,0.99763095,0.7363457,1.0026729,0.9655334,0.9729617,0.9976448,0.9611155,0.8272951,1.2383974,1.2133695993235194,0.6641178030291721,0.9717116532292318,0.8713326123211973,0.98110295996601,0.9995432932874799
41.0,0.9901923,0.99353653,0.99848557,0.99862915,0.999665,0.99763095,0.7363457,1.0026729,0.9655334,0.9729617,0.9976448,0.9611155,0.74027336,1.1068901,1.0845201049555395,0.5942603888428605,0.9717116532292318,0.8713326123211973,0.98110295996601,0.9995432932874799
42.0,0.9915064,0.99499613,0.99888617,0.99908143,0.99991834,0.9973572,0.7363457,1.0026729,0.9789684,0.9881722,1.0060781,0.9611155,0.7877364,1.1746585,1.1509189592728897,0.6323617517234177,0.9852326173845807,0.862793085042064,0.996440659670633,1.0079926926925997
43.0,0.99239516,0.99537593,0.99897563,0.99923706,1.0000222,0.997553,0.7363457,1.0026729,0.9789684,0.9926375,1.0090412,0.9611155,0.8138023,1.18936,1.1653233392454476,0.6532863584285055,0.9878069609975985,0.8679577348386531,1.0009433363360933,1.0109614257054795
44.0,0.9922317,0.9952826,0.9994357,0.99987876,1.0007521,0.99672836,0.7363457,1.0026729,0.9789684,0.9926375,1.0298587,0.9611155,0.80900997,1.1857473,1.1617835494756212,0.6494392497570068,1.0010460025585857,0.8462066715024729,1.0195122260556366,1.031818566173225
45.0,0.9951698,0.9979415,0.9998556,1.0004351,1.0006615,0.9969725,0.7363457,1.0026729,0.9789684,0.9926375,1.0272756,0.9611155,0.8951762,1.2886575,1.2626140430884105,0.7186098675118635,1.0131277396437144,0.8526461199267195,1.0356120790813688,1.0292304375742787
46.0,0.99665254,0.9981993,0.99986875,1.0003514,1.0006908,0.9971298,0.7363457,1.0026729,0.9789684,0.9926375,1.0281112,0.9611155,0.9386615,1.2986345,1.2723893905026804,0.7535180748493777,1.013506111824647,0.8567952210441904,1.0331916133727281,1.0300677487007321
47.0,0.9977749,0.9989834,0.99986875,1.0003514,1.0006908,0.9971298,0.7363457,1.0026729,0.9789684,0.9926375,1.0281112,0.9611155,0.9715774,1.3289824,1.3021238572423843,0.7799415680499766,1.013506111824647,0.8567952210441904,1.0331916133727281,1.0300677487007321
48.0,0.9988549,0.9988322,0.99986875,1.0003514,1.0006908,0.9971298,0.7363457,1.0026729,0.9789684,0.9926375,1.0281112,0.9611155,1.0032504,1.3231324,1.2963921200912611,0.8053673093783068,1.013506111824647,0.8567952210441904,1.0331916133727281,1.0300677487007321
