State,County,Annual_Crime_Rate,Children_Poverty_Rate,Chlamydia_Rate,id,Bachelor_or_High_Degree_Rate,Teenage_Birth_Rate,Natural_Amenity,Life_Expectancy,Population,Annual_Crime_Rate_Rank,Children_Poverty_Rate_Rank,Chlamydia_Rate_Rank,Bachelor_or_High_Degree_Rate_Rank,Teenage_Birth_Rate_Rank,Life_Expectancy_Rank
SD,LAKE COUNTY,0.0005715592135345,10.0,0.0028577960676726,46.0,15.5,0.085,-1.86,83.533,8748,104.0,261.5,503.0,1784.0,2438.5,2613.0
TN,LAKE COUNTY,0.0028378857750975,40.0,0.0117062788222774,47.0,15.5,0.1641391035548686,-0.36,73.5,5638,1278.0,2585.0,2449.0,1784.0,1270.0,106.5
AL,LAMAR COUNTY,0.0023381112127681,22.0,0.0036596523330283,1.0,11.9,0.169,-0.85,74.867,9837,1039.0,1722.0,857.0,2417.0,1114.0,329.0
GA,LAMAR COUNTY,0.0072463768115942,21.0,0.0069993412384716,13.0,11.9,0.207,-0.57,74.5,12144,2396.0,1625.5,1957.0,2417.0,573.0,262.5
MS,LAMAR COUNTY,0.00080378020265,22.0,0.0055046765393608,28.0,11.9,0.205,-0.26,76.312,41056,178.0,1722.0,1596.0,2417.0,595.0,785.5
TX,LAMAR COUNTY,0.0056473788474616,27.0,0.0094024422695958,48.0,11.9,0.231,0.36,74.392,33821,2169.0,2172.0,2284.0,2417.0,320.5,238.0
TX,LAMB COUNTY,0.0051626845959899,26.0,0.0072037459478929,48.0,14.4,0.26,1.31,77.08,8329,2063.0,2095.0,1990.0,1962.5,116.5,1089.0
VT,LAMOILLE COUNTY,0.0007874458630969,11.0,0.0039372293154845,50.0,38.2,0.082,-0.82,80.643,17779,172.0,346.0,996.0,206.5,2471.5,2323.0
TX,LAMPASAS COUNTY,0.0017687074829931,19.0,0.0044217687074829,48.0,19.9,0.198,2.81,78.475,14700,694.0,1382.5,1200.0,1191.0,696.0,1630.5
NE,LANCASTER COUNTY,0.0051226343211351,11.0,0.0088191684342758,31.0,39.5,0.122,-2.55,79.266,194236,2054.0,346.0,2216.0,193.5,1970.5,1927.0
PA,LANCASTER COUNTY,0.0025056803664008,15.0,0.0043135067711066,42.0,39.5,0.106,0.45,79.842,363973,1129.0,836.0,1156.0,193.5,2178.5,2116.5
